Movie,Worldwide,IndiaNet,IndiaGross,Overseas,Budget,Verdict
Pathaan,	10500000000, 5240000000,	6570000000,	3920000000,	2500000000,	All-Time-Blockbuster
Baahubali 2 The Conclusion,	17880000000,	5100000000,	14160000000,	3710000000,	2500000000,	All-Time-Blockbuster
KGF Chapter 2,	12080000000,	4350000000,	10000000000,	2070000000,	1000000000,	All-Time-Blockbuster
Dangal,	20700000000,3740000000,	5350000000,	15350000000,700000000,	All-Time-Blockbuster
Sanju,	5880000000,	3420000000,	4380000000,	1500000000,	1000000000,	All-Time-Blockbuster
PK,	7920000000,	3400000000,	4890000000, 	3030000000,	850000000,	All-Time-Blockbuster
Bajrangi Bhaijaan,	9220000000,	3200000000,	4320000000,	4890000000,	900000000,	All-Time-Blockbuster
Kabir Singh,	3770000000,	2780000000,3300000000,	470000000,	550000000,	All-Time-Blockbuster
Dhoom 3,	5580000000,	2710000000, 3720000000,1860000000,	1750000000, All-Time-Blockbuster
The Kashmir Files,	3410000000,	2520000000,	2950000000,	460000000,	200000000, All-Time-Blockbuster
URI The Surgical Strike,	3410000000,	2440000000,	2930000000,	480000000,	700000000, All-Time-Blockbuster
Drishyam 2,	3420000000,	2390000000,2820000000,590000000,	500000000,	All-Time-Blockbuster
3 Idiots,	4600000000,	2020000000,	2740000000,	1860000000,	550000000,All-Time-Blockbuster
Golmaal Again,	3080000000,2050000000,	2620000000,	450000000,	800000000,	Blockbuster
Good Newwz,	3160000000,	2050000000,	2420000000,	740000000,	600000000,	Blockbuster
Mission Mangal,	2900000000,	2030000000,	2360000000,	540000000,	400000000,	Blockbuster
Simmba,	3900000000,	2400000000,	2950000000,	950000000,	900000000,	Blockbuster
Tiger Zinda Hai,	5580000000,	3390000000,	4330000000,	1240000000,	2100000000,	Blockbuster
War,	4710000000,	3030000000,	3750000000,	960000000,	1500000000,	Blockbuster
Padmaavat,	5850000000,	3020000000,	4000000000,1850000000,	2150000000,	Blockbuster
Sultan,	6270000000,3000000000,	4210000000,	2060000000,	800000000,	Blockbuster
Tanhaji: The Unsung Warrior,	3610000000,	2770000000,	3250000000,	360000000,	1500000000,	Blockbuster
RRR,	12300000000,	2720000000,	9150000000,	3140000000,	5500000000,	Blockbuster
Krrish 3,	3740000000,	2310000000,	3130000000,	610000000,	940000000,	Blockbuster
Brahmastra Part One: Shiva,	4310000000,	2490000000,3180000000,	1130000000,3500000000,	Hit
Bharat,	3210000000,	2120000000,	2510000000,	700000000,	1650000000,	Hit
Kick,	3780000000	,2310000000	,3100000000,	680000000,	1000000000,	SuperHit
Chennai Express,4220000000,	2270000000,	3100000000,1120000000,1150000000,	SuperHit
Housefull 4,	2960000000,	2100000000,2470000000,	490000000,1750000000,	SuperHit
Prem Ratan Dhan Payo,	4050000000,	2100000000,	3100000000,	950000000,	1800000000,	SuperHit

