Player, Matches,	Innings,	Not Out,	Runs,	Highest Score,	Avg,	BF,	SR,	4s,	6s
Virat Kohli,	192,	184,	30,	5878,	113,	38.17,	4496,	130.74,	503,	201
Rohit Sharma,	200,	195,	28,	5230,	109,	31.32,	4004,	130.62,	458,	213
Shikhar Dhawan,	176,	175,	23,	5196,	106,	34.18,	4096,	126.86,	591,	108
Shubman Gill,	41,	38,	10,	939,	76,	33.54,	750,	125.2,	87,	24
Shreyas Iyer,	79,	79,	9,	2200,	96,	31.43,	1745,	126.07,	189,	83
Manish Pandey,	146,	135,	25,	3268,	114,	29.71,	2686,	121.67,	287,	93
Mayank Agarwal,	88,	83,	3,	1694,	106,	21.18,	1259,	134.55,	162,	67
Prithvi Shaw,	38,	38,	1,	826,	99,	21.74,	591,	139.76,	99,	27
Cheteshwar Pujara,	30,	22,	3,	390,	51,	20.53,	391,	99.74,	50,	4
Ajinkya Rahane,	149,	140,	16,	3933,	105,	31.72,	3240,	121.39,	416,	76
Hardik Pandya,	80,	74,	29,	1349,	91,	29.98,	847,	159.27,	86,	93
Hanuma Vihari,	24,	23,	3,	284,	46,	14.2,	321,	88.47,	23,	1
Ravindra Jadeja,	184,	139,	54,	2159,	50,	25.4,	1706,	126.55,	157,	76
Ravichandran Ashwin,	154,	58,	20,	412,	45,	10.84,	373,	110.46,	35,	11
KL Rahul,	81,	72,	13,	2647,	132,	44.86,	1949,	135.81,	234,	104
Sanju Samson,	107,	103,	10,	2584,	102,	27.78,	1932,	133.75,	191,	115
Wriddhiman Saha,	124,	99,	22,	1979,	115,	25.7,	1499,	132.02,	184,	64
Rishabh Pant,	68,	68,	9,2079,	128,	35.24,	1368,	151.97,	183,	103
Mohammed Shami,	63,	19,	9,	56,	21,	5.6,	56,	100,	5,	2
Jasprit Bumrah,	92,	13,	10,	40,	16,	13.33,	41,	97.56,	2,	1
Kuldeep Yadav,	45,	11,	5,	57,	16,	9.5,	75,	76,	5,	1
Yuzvendra Chahal,	99,	16,	10,	22,	4,	3.67,	51,	43.14,	2,	1
Navdeep Saini,	26,	5,	3,	29,	12,	14.5,	31,	93.55,	3, 2
Shardul Thakur,	45,	10,	4,	48,	15,	8,	42,	114.29,	5,	4
Umesh Yadav,	121,	38,	24,	122,	24,	8.71,	128,	95.31, 11,	1
Mohammed Siraj,	35,	11,	7,	46,	14,	11.5,	50,	92,	4,	1
